,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,hhld_structure,electricity,parafin.lamp,radio,tv,mobile,iron,fridge,generator,clock_watch,bed,sofa,kerosene_cooker,solar,bike,motorbike,truck_car,mosquito_net,panga,blanket,none_above,crop_sales,livestock_sales,milk_sales,meat_sales,business,firewood,charcoal,natural_resurces,specify,casual,salary,gifts,other,specify_other_income,who_crop_sales,who_livestock_sales,who_milk_sales,who_meat_sales,who_business,who_firewood,who_charcoal,who_natural_resurces,who_casual,who_salary,who_gifts,who_other,stones_crop_sales,stones_livestock_sales,stones_milk_sales,stones_meat_sales,stones_business,stones_firewood,stones_charcoal,stones_natural_resurces,stones_casual_labor,stones_salary,stones_gifts,stones_other,ksh_crop_sales,ksh_livestock_sales,ksh_milk_sales,ksh_meat_sales,ksh_business,ksh_firewood,ksh_charcoal,ksh_natural_resurces,ksh_casual_labor,ksh_salary,ksh_gifts,ksh_other,describe_income,compare_income,wellbeing,change_cause1,change_cause2,casual_work,no_cattle,no_donkeys,no_sheep,no_goats,no_camels,no_chicken,no_other,other_livestock,sell_cattle,why_cattle,sell_donkeys,why_donkeys,sell_sheep,why_sheep,sell_goats,why_goats,sell_camels,why_camels,sell_chicken,why_chicken,sell_other,what_sell_other,why_other,sick_livestock,sell_milk,quantity,units,sell_eggs,no_eggs
21,golgoltim005,69,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT,69,4,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,NA,NA,NA,NA,0,1,0,0,1,0,0,0,NA,1,0,0,0,NA,NA,2,NA,NA,3,NA,NA,NA,2,NA,NA,NA,0,2,0,0,3,0,0,0,1,0,0,0,0,24000,0,0,12000,0,0,0,1800,0,0,0,2,1,1,availability of security,availability of local market,2,2,1,56,42,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,1,NA,NA,NA,NA
22,golgoltim005,69,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT,69,4,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,NA,NA,NA,NA,0,1,0,0,1,0,0,0,NA,1,0,0,0,NA,NA,2,NA,NA,3,NA,NA,NA,2,NA,NA,NA,0,2,0,0,3,0,0,0,1,0,0,0,0,24000,0,0,12000,0,0,0,1800,0,0,0,2,1,1,availability of security,availability of local market,2,2,1,56,42,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,1,NA,NA,NA,NA
23,golgoltim006,70,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,70,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,1,NA,1,0,0,0,NA,NA,3,NA,NA,NA,NA,NA,3,3,NA,NA,NA,0,3,0,0,0,0,0,1,6,0,0,0,0,12000,0,0,0,0,0,6000,18000,0,0,0,2,3,1,availability of security,availability of local market,1,2,0,10,10,0,5,0,NA,1,for school fees,0,NA,2,for family food,5,for school fees,0,NA,2,for visiting a student at  school,0,NA,NA,2,1,NA,NA,NA,NA
24,golgoltim006,70,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,70,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,1,NA,1,0,0,0,NA,NA,3,NA,NA,NA,NA,NA,3,3,NA,NA,NA,0,3,0,0,0,0,0,1,6,0,0,0,0,12000,0,0,0,0,0,6000,18000,0,0,0,2,3,1,availability of security,availability of local market,1,2,0,10,10,0,5,0,NA,1,for school fees,0,NA,2,for family food,5,for school fees,0,NA,2,for visiting a student at  school,0,NA,NA,2,1,NA,NA,NA,NA
25,golgoltim007,71,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,1,1,NA,1,0,0,0,NA,NA,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,0,2,0,0,0,0,5,1,2,0,0,0,0,9000,0,0,0,0,4800,6000,9000,0,0,0,2,2,1,good security,local market,1,5,0,10,5,0,6,0,NA,2,for school fees,0,NA,2,to cater food for family,2,for school uniforms,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
26,golgoltim007,71,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,1,1,NA,1,0,0,0,NA,NA,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,0,2,0,0,0,0,5,1,2,0,0,0,0,9000,0,0,0,0,4800,6000,9000,0,0,0,2,2,1,good security,local market,1,5,0,10,5,0,6,0,NA,2,for school fees,0,NA,2,to cater food for family,2,for school uniforms,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
27,golgoltim008,72,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT,72,2,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,0,1,1,0,0,0,0,0,NA,0,0,0,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,3,0,0,0,0,0,0,0,0,0,0,9000,3600,0,0,0,0,0,0,0,0,0,2,2,1,availability of good security,NA,2,15,0,17,30,4,0,0,NA,1,for school fees,0,NA,3,for school fees,0,NA,0,NA,0,NA,0,NA,NA,1,2,20,litres,NA,NA
28,golgoltim008,72,21/06/15,namunyak,ngilai west   ,golgoltim,golgoltim,baseline,NRT,72,2,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,0,1,1,0,0,0,0,0,NA,0,0,0,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,3,0,0,0,0,0,0,0,0,0,0,9000,3600,0,0,0,0,0,0,0,0,0,2,2,1,availability of good security,NA,2,15,0,17,30,4,0,0,NA,1,for school fees,0,NA,3,for school fees,0,NA,0,NA,0,NA,0,NA,NA,1,2,20,litres,NA,NA
29,golgoltim009,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,73,2,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,NA,0,1,0,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,4,0,0,0,0,0,0,0,6,0,0,0,12000,0,0,0,0,0,0,0,120000,0,0,2,2,1,availability of security,local market,1,5,0,10,10,0,6,0,NA,2,for school fees,0,NA,3,for buying livestock medicine,0,NA,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
30,golgoltim009,73,21/06/15,namunyak,ngilai west,golgoltim,golgoltim,baseline,NRT,73,2,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,NA,0,1,0,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,4,0,0,0,0,0,0,0,6,0,0,0,12000,0,0,0,0,0,0,0,120000,0,0,2,2,1,availability of security,local market,1,5,0,10,10,0,6,0,NA,2,for school fees,0,NA,3,for buying livestock medicine,0,NA,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
31,kiwanja 001,18,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,18,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,33600,0,0,0,2,2,2,they are getting old and weak to work,his wife became sick sick and has no helper,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,1,1,NA,NA,NA,NA
32,kiwanja 002,19,23/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,19,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,144000,0,0,1,2,2,increase in family and relatives,influence of the raids,2,0,2,4,3,1,0,0,0,0,NA,0,NA,0,NA,2,for basic needs,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
