,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,wilidlife_cost_benefits,importance,problems,wildlife_problem1,wildlife_problem2,wildlife_problem3,wildlife_problem4,wildlife_problem5,other_wildlife,problem_trend,positive_conservation1,positive_conservation2,positive_conservation3,other_positive,negative_conservation1,negative_conservation2,negative_conservation3,other_negative,population
58,kiwanja 028,197,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,197,2,3,2,2,4,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
59,kiwanja 029,198,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,198,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
60,kiwanja 030,199,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,199,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
61,kiwanja 031,200,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,200,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
62,kiwanja 032,201,28/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,201,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
63,kiwanja 033,202,28/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,202,2,3,1,NA,NA,NA,NA,NA,NA,2,1,2,4,security  ,3,NA,NA,no problem,NA
64,lakiji006,36,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,36,2,2,2,1,2,3,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
65,lakiji006,36,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,36,2,2,2,1,2,3,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
66,latipai001,226,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,226,2,3,98,1,2,3,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
67,latipai001,226,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,226,2,3,98,1,2,3,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
68,latipai002,227,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,227,2,2,2,1,2,3,4,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
69,latipai002,227,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,227,2,2,2,1,2,3,4,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
70,latipai003,228,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,228,2,2,2,1,2,3,4,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
71,latipai003,228,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,228,2,2,2,1,2,3,4,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
72,lbaa lotepes 001,34,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,34,2,2,2,1,2,3,4,NA,NA,2,2,NA,NA,NA,1,2,NA,NA,NA
73,lbaa lotepes 002,35,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,35,2,3,2,1,2,3,4,NA,NA,2,2,NA,NA,NA,1,2,NA,NA,NA
74,lbaa lotepes 003,36,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,36,2,3,2,1,2,3,4,NA,NA,2,2,NA,NA,NA,1,2,NA,NA,NA
75,lbaa lotepes 004,37,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,37,2,3,2,1,2,3,4,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
76,lbaa lotepes 005,38,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,38,2,3,2,1,2,3,4,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
77,lbaa lotepes 006,39,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,39,2,3,2,1,2,3,4,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
78,lbaa lotepes 007,40,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,40,2,2,2,1,2,3,4,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
79,lbaa lotepes 008,41,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,41,2,3,2,1,2,3,NA,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
