,hhid,index.x,security_status,feel_safe,conflict1,conflict2,conflict3,conflict4,conflict5,conflict6,other_conflict,conflict_rank1,conflict_rank2,conflict_rank3,index.y,date,ccy,location,sublocation,village,survey_type,nrt
101,latipai001,226,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,226,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
102,latipai002,227,1,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,227,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
103,latipai002,227,1,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,227,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
104,latipai002,227,1,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,227,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
105,latipai002,227,1,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,227,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
106,latipai003,228,1,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,228,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
107,latipai003,228,1,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,228,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
108,latipai003,228,1,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,228,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
109,latipai003,228,1,2,2,4,6,NA,NA,NA,NA,NA,NA,NA,228,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT
110,lbaa lotepes 001,34,1,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,34,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
111,lbaa lotepes 002,35,1,2,2,5,4,NA,NA,NA,NA,NA,NA,NA,35,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
112,lbaa lotepes 003,36,1,NA,2,4,5,NA,NA,NA,NA,NA,NA,NA,36,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
113,lbaa lotepes 004,37,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,37,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
114,lbaa lotepes 005,38,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,38,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
115,lbaa lotepes 006,39,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,39,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
116,lbaa lotepes 007,40,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,40,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
117,lbaa lotepes 008,41,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,41,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
118,lbaa lotepes 009,42,1,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,42,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
119,lbaa lotepes 010,43,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,43,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
120,lbaa lotepes 011,44,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,44,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
121,lbaa lotepes 012,45,1,2,2,5,4,NA,NA,NA,NA,NA,NA,NA,45,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
122,lbaa lotepes 013,46,1,2,2,5,4,NA,NA,NA,NA,NA,NA,NA,46,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
123,lbaa lotepes 014,47,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,47,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
124,lbaa lotepes 015,48,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,48,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
125,lbaa lotepes 016,49,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,49,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
126,lbaa lotepes 017,50,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,50,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT
127,lekiji001,31,2,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
128,lekiji001,31,2,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,162,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT
