,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,eat_meat,drink_milk,sick_adults,sick_children,medical_services1,medical_services2,medical_services3,medical_services4,visit,no_times,water_wet_season1,water_wet_season2,water_wet_season3,water_wet_season4,water_wet_season5,important_wet_water,important_wet_water2,important_wet_water3,water_dry_season1,water_dry_season2,water_dry_season3,water_dry_season4,water_dry_season5,important_dry_water,important_dry_water2,important_dry_water3,hours_wet_season,hours_dry_season
44,kiwanja 014,31,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,31,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,3,6,NA,NA,8,NA,NA,3,6,NA,NA,NA,3,NA,NA,0.5,2
45,kiwanja 015,32,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,32,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,3,6,NA,NA,8,NA,NA,3,6,NA,NA,NA,3,NA,NA,0.5,1
46,kiwanja 016,33,24/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,33,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,3,6,NA,NA,8,NA,NA,3,6,NA,NA,NA,6,NA,NA,0.5,2
47,kiwanja 017,186,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,186,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,3,NA,NA,3,6,NA,NA,NA,3,NA,NA,1,1
48,kiwanja 018,187,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,187,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,8,NA,NA,3,5,6,NA,NA,3,NA,NA,2,4
49,kiwanja 019,188,25/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,188,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA,NA,11,NA,NA,3,6,NA,NA,NA,3,NA,NA,0.33,2
50,kiwanja 020,189,25/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,189,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,6,NA,NA,NA,3,NA,NA,0.5,2
51,kiwanja 021,190,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,190,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,6,NA,NA,NA,3,NA,NA,0.33,2
52,kiwanja 022,191,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,191,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,2,6,NA,NA,NA,2,NA,NA,0.33,1
53,kiwanja 023,192,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,192,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,6,NA,NA,NA,3,NA,NA,0.33,2
54,kiwanja 024,193,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,193,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,6,NA,NA,NA,3,NA,NA,0.33,2
55,kiwanja 025,194,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,194,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,6,5,NA,NA,3,NA,NA,0.33,6
56,kiwanja 026,195,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,195,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,5,6,NA,NA,3,NA,NA,0.5,1.5
57,kiwanja 027,196,26/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,196,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,5,6,NA,NA,5,NA,NA,0.33,4
58,kiwanja 028,197,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,197,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,5,3,6,NA,NA,5,NA,NA,0.33,6
59,kiwanja 029,198,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,198,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,5,6,NA,NA,3,NA,NA,0.33,2
60,kiwanja 030,199,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,199,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,5,6,NA,NA,3,NA,NA,0.33,3
61,kiwanja 031,200,27/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,200,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,5,6,NA,NA,3,NA,NA,0.33,2
62,kiwanja 032,201,28/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,201,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,5,6,NA,NA,3,NA,NA,0.33,3
63,kiwanja 033,202,28/06/15,sera,sere olipi,sere olipi,kiwanja,baseline,NRT,202,1,2,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,8,NA,NA,3,5,6,NA,NA,3,NA,NA,0.33,3
64,lakiji006,36,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,36,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,0.75,2
65,lakiji006,36,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,36,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,0.75,2
66,latipai001,226,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,226,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,1,3
67,latipai001,226,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,226,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,1,3
68,latipai002,227,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,227,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,1,4
69,latipai002,227,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,227,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,1,4
70,latipai003,228,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,228,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,1,2
71,latipai003,228,29/06/15,namunyak,nkare narok,ndikir nanyokie,latipai ,baseline,NRT,228,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,8,NA,NA,1,2
72,lbaa lotepes 001,34,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,34,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
73,lbaa lotepes 002,35,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,35,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
74,lbaa lotepes 003,36,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,36,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
75,lbaa lotepes 004,37,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,37,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
76,lbaa lotepes 005,38,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,38,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
77,lbaa lotepes 006,39,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,39,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
78,lbaa lotepes 007,40,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,40,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
79,lbaa lotepes 008,41,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,41,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,8,NA,NA,5,8,NA,NA,NA,5,NA,NA,0.5,1
