,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,grazing_plan,plan_helpful,quality_grazing,follow_plan,no_reason,no_reason1,no_reason2,no_reason3,no_reason4,no_reason5,wet_hhld_livestock_out_ccy,dry_hhld_livestock_out_ccy,wet_no_cattle,wet_no_shoats,wet_no_camels,dry_no_cattle,dry_no_shoats,dry_no_camels,wet_area1,wet_area2,wet_area3,wet_area4,wet_area5,other_wet,dry_area1,dry_area2,dry_area3,dry_area4,dry_area5,other_dry,wet_outside_livestock,dry_outside_livestock,wet_outside_times,dry_outside_times,wet_outside_no,dry_outside_no
74,lbaa lotepes 003,36,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,36,2,2,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,1,3,0,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,2,NA,4,NA,10
75,lbaa lotepes 004,37,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,37,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,3,13,0,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,2,NA,3,3,9
76,lbaa lotepes 005,38,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,38,2,2,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,4,70,0,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,5,NA,11
77,lbaa lotepes 006,39,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,39,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,1,13,0,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,3,NA,8
78,lbaa lotepes 007,40,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,40,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,2,4,0,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,2,NA,3,NA,6
79,lbaa lotepes 008,41,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,41,2,2,3,1,there are no livestock in the household,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,4,NA,9
80,lbaa lotepes 009,42,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,42,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,5,17,0,3,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,1,2,NA,4,NA,8
81,lbaa lotepes 010,43,23/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,43,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,10,50,0,3,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,2,NA,2,NA,12
82,lbaa lotepes 011,44,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,44,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,3,13,0,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,4,NA,8
83,lbaa lotepes 012,45,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,45,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,4,68,0,3,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,1,2,NA,3,NA,5
84,lbaa lotepes 013,46,24/06/15,sera,sere olipi,sere olipi,lbaa lotepes,baseline,NRT,46,2,3,2,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,3,15,0,3,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,1,2,NA,3,NA,6
